I [client_worker.cc:224] 2017-06-16 15:45:37.833 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.833 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.835 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.836 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.838 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.842 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.846 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.849 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.854 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.857 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.864 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.866 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.870 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.870 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.873 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.873 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.876 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.877 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.881 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.885 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.892 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.894 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.898 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.898 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.902 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.902 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.905 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.908 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.914 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.916 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.920 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.920 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.923 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.923 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.926 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.926 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.930 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.933 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.938 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.940 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.944 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.944 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.947 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.947 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.950 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.950 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.953 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.953 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.957 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.960 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.967 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.972 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.977 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.983 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.989 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.991 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:37.995 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:37.998 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:38.003 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:38.006 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:38.009 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:38.009 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:38.012 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:38.012 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:38.017 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:38.017 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:38.020 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:38.023 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:38.029 | DispatchRequest: 6
I [coord.cc:82] 2017-06-16 15:45:38.031 | start txn!!! : 0
I [client_worker.cc:224] 2017-06-16 15:45:38.035 | DispatchRequest: 6
